日期,销量
2017-02-21,2044
2017-02-21,2016
2017-02-21,1992
2017-02-21,1992
2017-02-21,2007
2017-02-21,2017
2017-02-21,2072
2017-02-21,2066
2017-02-21,2041
2017-02-21,2039
2017-02-21,2068
2017-02-21,2088
2017-02-21,2067
2017-02-21,2077
2017-02-21,2064
2017-02-21,2134
2017-02-21,2138
2017-02-21,2084
2017-02-21,2159
2017-02-21,2072
2017-02-21,2160
2017-02-21,2104
2017-02-21,2108
2017-02-21,2175
2017-02-21,2189
2017-02-21,2175
2017-02-21,2184
2017-02-21,2191
2017-02-21,2211
2017-02-21,2138
